학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,X,Y
B000005193,임당초등학교,초등학교,1921-10-01,공립,본교,운영,강원특별자치도 양구군 동면 임당리 564 번지,강원특별자치도 양구군 동면 금강산로 1673,7801000,강원특별자치도교육청,7952000,강원특별자치도양구교육지원청,2013-11-29,2024-11-08,38.20135383,128.0426302,2025-03-21,291327.0161942142,622863.8657861688
B000009520,백사중학교,중학교,1978-03-01,공립,본교,운영,경기도 이천시 백사면 신대리 20-1,경기도 이천시 백사면 이여로 309,7530000,경기도교육청,7741000,경기도이천교육지원청,2013-11-29,2024-11-08,37.32369203,127.4739405,2025-03-21,242006.8635816046,525041.857824106
B000001974,서울오정초등학교,초등학교,1986-04-29,공립,본교,운영,서울특별시 구로구 오류동 108-28,서울특별시 구로구 경인로2길 10,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.48973575,126.8263073,2025-03-21,184639.0375921475,543379.0965685198
B000004384,송곡초등학교,초등학교,1941-04-30,공립,본교,운영,경기도 이천시 모가면 송곡리 295-2,경기도 이천시 모가면 진상미로 1054,7530000,경기도교육청,7741000,경기도이천교육지원청,2013-11-29,2024-11-08,37.15215512,127.4841742,2025-03-21,243011.2680251344,506008.74477095174
B000009547,대신중학교,중학교,1953-09-01,사립,본교,운영,경기도 여주시 대신면 후포리 258-2,경기도 여주시 대신면 여양로 1196,7530000,경기도교육청,7661000,경기도여주교육지원청,2013-11-29,2024-11-08,37.36457625,127.6068162,2025-03-21,253755.01449308774,529646.7736926349
B000007680,금동초등학교,초등학교,1932-08-02,공립,본교,운영,경상남도 김해시 상동면 대감리 656-2,경상남도 김해시 상동면 상동로 551-13,9010000,경상남도교육청,9091000,경상남도김해교육지원청,2013-11-29,2024-11-08,35.30906273,128.9303508,2025-03-21,375564.1574028223,303093.110480478
B000006654,노동초등학교,초등학교,1932-05-01,공립,본교,운영,전라남도 보성군 노동면 거석리 522,전라남도 보성군 노동면 거석길 218,8490000,전라남도교육청,8601000,전라남도보성교육지원청,2013-11-29,2024-11-08,34.82394562,127.0490567,2025-03-21,204487.86723545843,247564.68919153512
B000003248,광주서림초등학교,초등학교,1955-09-01,공립,본교,운영,광주광역시 북구 임동 32-1,광주광역시 북구 서림로 113,7380000,광주광역시교육청,7391000,광주광역시동부교육지원청,2013-11-29,2024-11-08,35.16240231,126.8991515,2025-03-21,190811.9499462298,285116.7865257235
B000008186,대림중학교,중학교,1984-03-01,공립,본교,운영,서울특별시 영등포구 대림동 959,서울특별시 영등포구 시흥대로185길 6,7010000,서울특별시교육청,7041000,서울특별시남부교육지원청,2013-11-29,2024-11-08,37.49214261,126.9075629,2025-03-21,191825.35103777793,543636.0692197696
B000011916,제주외국어고등학교,고등학교,2004-03-05,공립,본교,운영,제주특별자치도 제주시 애월읍 고성리 94,제주특별자치도 제주시 애월읍 고성남길 34,9290000,제주특별자치도교육청,9296000,제주특별자치도제주시교육지원청,2013-11-29,2024-11-08,33.43371929,126.4256517,2025-03-21,146589.10275616794,93500.60325241415
B000008726,새본리중학교,중학교,2016-03-01,공립,본교,운영,대구광역시 달서구 본리동 330-1,대구광역시 달서구 대명천로 167,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2013-11-29,2024-11-08,35.8393446,128.5409604,2025-03-21,339225.2510233463,361315.09387935314
B000006113,이리영등초등학교,초등학교,1997-03-03,공립,본교,운영,전북특별자치도 익산시 영등동 762,전북특별자치도 익산시 동서로41길 37,8321000,전북특별자치도교육청,8352000,전북특별자치도익산교육지원청,2013-11-29,2024-11-08,35.95300377,126.9720705,2025-03-21,197480.27998155553,372830.37757534464
B000010179,예산여자중학교,중학교,1941-05-19,공립,본교,운영,충청남도 예산군 예산읍 발연리 135-5,충청남도 예산군 예산읍 벚꽃로 197-17,8140000,충청남도교육청,8271000,충청남도예산교육지원청,2013-11-29,2024-11-08,36.69937519,126.8351824,2025-03-21,185271.74987760663,455663.8288510648
B000023990,삼성현초등학교,초등학교,2015-03-01,공립,본교,운영,경상북도 경산시 백천동 438-3,경상북도 경산시 경청로216길 20,8750000,경상북도교육청,8851000,경상북도경산교육지원청,2013-11-29,2024-11-08,35.79977828,128.7391059,2025-03-21,357207.2940984544,357224.4942237425
B000007774,정곡초등학교,초등학교,1923-04-01,공립,본교,운영,경상남도 의령군 정곡면 중교리 428-1,경상남도 의령군 정곡면 법정로 937-6,9010000,경상남도교육청,9121000,경상남도의령교육지원청,2013-11-29,2024-11-08,35.37948235,128.3244885,2025-03-21,320352.82942886825,310001.6972908288
B000025908,대전죽동초등학교,초등학교,2017-03-01,공립,본교,운영,대전광역시 유성구 죽동 689,대전광역시 유성구 죽동로 52,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2013-11-29,2024-11-08,36.37040016,127.3355815,2025-03-21,230115.19361213525,419197.45499581523
B000004944,운양초등학교,초등학교,1943-07-30,공립,본교,운영,강원특별자치도 강릉시 사천면 판교리 91 번지,강원특별자치도 강릉시 사천면 이설당1길 36,7801000,강원특별자치도교육청,7832000,강원특별자치도강릉교육지원청,2013-11-29,2024-11-08,37.83704552,128.8590459,2025-03-21,363652.4043812321,583541.8086564025
B000012481,상동고등학교,고등학교,2002-03-01,공립,본교,운영,경기도 부천시 원미구 상동 620-1,경기도 부천시 원미구 상이로 22,7530000,경기도교육청,7581000,경기도부천교육지원청,2013-11-29,2024-11-08,37.49116766,126.744861,2025-03-21,177436.54400029796,543554.425727468
B000005541,천안부성초등학교,초등학교,1999-09-01,공립,본교,운영,충청남도 천안시 서북구 두정동 956,충청남도 천안시 서북구 부성1길 16,8140000,충청남도교육청,8151000,충청남도천안교육지원청,2013-11-29,2024-11-08,36.8351197,127.1365786,2025-03-21,212183.29214108654,470723.88887378457
